Ticker,IQ_PE_EXCL,IQ_PE_NORMALIZED,IQ_PBV,IQ_TOTAL_DEBT_EQUITY,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_MARGIN,IQ_NI_NORM_MARGIN,IQ_RETURN_COMMON_EQUITY,IQ_RETURN_ASSETS,IQ_BETA_2YR,IQ_BETA_5YR,IQ_MarketCap,predictions
ADSK,268.8351,276.12671,3.26712,91.9962,109.1613,4.736,4.6207,15.1807,4.1453,1.54864,1.89,39526.72848,1
DG,24.25311,30.03853,5.92508,171.3593,63.1484,6.0939,4.9132,25.5357,7.883,0.63601,0.51214,39338.26717,5
LRCX,19.86709,28.34963,7.91973,91.9962,47.9156,22.3832,15.6754,41.4039,12.9309,1.63828,1.64107,39954.72576,4
MPC,12.9824,18.02077,1.15982,71.9489,41.8431,2.5086,1.8053,12.8578,5.0497,1.17882,1.68772,37082.7628,0
AFL,13.08725,15.54041,1.32327,28.6092,22.2451,13.9624,11.767,11.5735,1.8569,0.8487,0.71435,38939.65543,5
ETN,16.54884,22.7517,2.42802,53.805,34.9826,11.0591,8.045,14.6616,5.8699,1.09282,1.43091,38607.426,0
VLO,16.88945,22.05852,1.82195,50.3752,33.4996,2.2318,1.7088,10.7306,4.1794,1.12806,1.48135,38145.53228,0
KHC,22.610205,13.17939,0.73464,60.4022,37.6567,-42.693,11.3586,-18.478,2.9414,0.88323,1.01583,38588.67641,0
PSA,25.28198,36.34753,7.44642,20.8499,17.2527,60.3301,35.9957,29.8769,8.3932,0.09805,0.05302,36668.92972,2
PRU,9.89247,12.72781,0.55865,54.9009,35.4426,6.0626,4.6806,6.8537,0.4762,1.38227,1.60125,37152.84,0
DAL,7.94164,10.15438,2.40068,111.7799,52.7811,10.123,7.9181,32.5872,6.7299,1.00113,1.10399,35490.43915,0
VFC,23.73065,30.17764,7.75998,83.999,45.6518,9.1159,8.4905,34.615,11.108,0.80906,1.23772,36606.58702,0
ROP,31.44134,45.45103,4.20321,75.6489,43.0682,21.575,14.9334,14.3108,5.5361,0.95164,1.1287,36078.96826,4
ALL,15.17287,17.85647,1.56391,27.4368,21.5297,6.1475,4.933,11.1576,1.9607,0.71632,0.81866,35502.35075,5
F,22.54453,18.09766,1.01172,435.5017,81.3259,1.0146,1.2629,4.4565,0.7764,0.73157,1.06186,36120.21162,0
STZ,45.99042,61.18002,3.07643,115.783,53.6571,9.402,7.058,6.818,6.4118,0.7819,0.65049,34617.63015,5
TRV,15.2484,20.4034,1.36796,27.1371,21.3447,7.5684,5.6085,9.7905,1.8392,0.76654,0.90776,34749.72236,5
OXY,28.16159,16.27879,1.32412,123.6068,55.2786,6.2417,9.848,4.4888,2.3606,0.87054,0.87756,33535.137819999996,5
CTSH,16.94515,19.81724,3.22024,15.8848,13.7074,12.5992,10.7912,19.3265,10.6811,0.90525,1.03584,33226.29408,0
WELL,29.93589,110.22296,2.22653,84.7036,45.8592,21.9922,5.9139,7.6926,2.5446,0.26934,0.15137,32938.75329,5
ORLY,25.69058,31.47814,202.99742,3401.8565,97.1443,13.6895,11.1762,411.2209,13.1289,0.72233,0.69561,33641.72855,7
TSN,16.20471,21.42235,2.32486,83.8745,45.6151,4.7683,3.6039,15.0418,5.8113,0.66894,0.43012,32316.069089999997,5
NEM,11.32064,33.22806,1.52291,33.6461,25.1755,25.4166,9.0366,14.5939,3.1391,0.22121,-0.05183,33531.05829,5
XEL,24.76915,36.39916,2.47407,156.1296,60.9572,11.1446,7.5844,10.2268,2.4809,0.24541,0.09129,32595.96405,5
JCI,33.40476,56.15002,1.6559,34.6584,25.738,23.6732,2.7343,5.375,2.5127,1.02148,1.17182,32939.6238,0
MNST,30.18901,37.32714,7.90099,0.5729,0.5696,26.583,21.5536,27.2954,17.5272,1.12599,1.14866,33567.46753,2
GIS,17.19499,20.40833,4.36211,178.6774,64.1162,11.2139,9.4598,27.6457,6.2228,0.62148,0.70265,31174.630610000004,5
IR,24.07069,27.89448,4.35958,84.2975,45.7399,8.3754,7.0924,18.5154,6.8208,0.90537,1.23184,31765.759980000003,0
EQR,39.50775,102.70919,3.09056,85.537,46.1024,29.8812,11.8782,7.8129,2.697,0.46146,0.35326,30703.5827,5
PPG,26.24432,27.91502,5.9731,117.1615,53.9513,7.9965,7.4922,23.5455,6.5227,0.95234,1.23692,31286.44745,0
HSY,24.62867,30.94751,17.81131,268.9959,72.8994,16.1812,12.8633,85.627,13.5322,0.37147,0.05198,31290.15493,2
LYB,9.78352,12.94099,3.92667,173.8967,63.4898,9.7956,7.4119,36.6892,9.1077,1.22019,1.40285,30400.39893,0
APH,27.28687,32.94651,7.41301,98.2071,49.5477,14.1509,11.7279,28.7695,10.2411,1.08151,1.03286,31407.36652,2
TEL,16.11014,22.65233,2.92133,37.5118,27.2789,13.712,10.2849,18.186,7.0515,1.13572,1.13861,31156.31197,0
ZBH,22.610205,42.75354,2.52765,71.2986,41.6224,-1.1378,8.9673,-0.7424,3.5064,1.05121,1.1549,30237.65806,0
TDG,44.04297,41.5697,3.26712,91.9962,120.2754,17.0349,14.7734,15.1807,9.2207,1.10687,1.01802,30525.23635,2
PAYX,29.15461,35.32622,12.09385,39.0505,28.0836,27.0394,22.346,43.0059,11.1979,0.86164,0.86646,30163.956810000003,2
HPQ,9.90338,17.64462,3.26712,91.9962,130.2484,5.3645,3.0135,15.1807,7.8114,1.34941,1.50325,29742.006739999997,0
CCL,10.14275,15.88835,1.21593,42.5261,29.8374,14.9275,9.5431,12.2524,4.87,1.00804,1.10435,30831.63563,0
EA,11.27347,40.64841,4.22554,17.4769,14.8769,54.0125,14.9857,44.024,7.4568,0.61315,0.91991,30132.22382,4
AVB,29.93489,76.92971,2.78247,69.3075,40.9358,43.4459,16.9064,9.4408,2.7494,0.50317,0.47004,29551.82238,5
YUM,27.29887,40.83465,3.26712,91.9962,346.409,20.8752,13.974,15.1807,25.606,0.54793,0.33925,30076.83838,2
HLT,33.3561,41.86733,3.26712,91.9962,102.2774,24.7143,19.6651,508.1967,6.8084,0.97046,1.05908,29824.62604,2
PEG,20.49301,23.42091,1.97919,108.3082,51.9942,14.4545,12.6043,9.9371,3.3763,0.40667,0.26306,29468.681119999997,5
OKE,23.70497,29.21863,4.7552,205.9378,67.3136,11.7623,9.5616,19.4242,6.0343,0.9212,1.11852,29985.814739999998,0
INFO,79.24291,72.31173,3.58966,61.2345,37.9785,8.7436,9.5555,4.73,3.5939,0.92831,0.88459,29532.769589999996,5
LUV,12.55784,15.75247,2.96444,44.356,30.7268,10.8963,8.6711,24.3079,7.2916,1.07512,1.43454,28418.9108,0
TROW,15.73897,17.86926,4.25152,1.8432,1.8098,35.5304,30.5102,28.3963,16.2716,1.38587,1.07013,28884.855260000004,4
ED,20.46424,29.81552,1.60445,119.2842,54.397,10.9688,7.5296,8.1486,2.9992,0.22058,0.03134,29117.579439999998,5
IQV,123.63071,134.543,4.69859,189.6152,65.4714,2.2424,2.0425,3.6565,2.4482,1.13784,0.87622,27910.364210000003,1
EBAY,15.55774,25.98256,8.73099,257.2477,72.0082,18.3308,10.9962,39.1607,7.1578,0.92179,1.26202,28408.294889999997,0
RSG,26.40046,35.82614,3.55458,112.0022,52.8306,10.5816,7.815,13.6481,4.9306,0.58767,0.4983,28349.62566,5
WEC,25.81845,37.60784,2.79533,121.0084,54.7528,14.3105,9.8032,11.0469,2.7857,0.18279,-0.01194,28240.948819999998,5
PCAR,11.60493,14.28151,2.81482,109.661,52.3039,9.4506,7.6754,25.4493,7.3036,1.20695,1.32391,28154.112510000003,0
STT,15.1914,16.30157,1.30147,91.9962,49.5477,18.3366,15.448,9.0557,0.8863,1.30376,1.5752,28431.70465,4
AZO,18.48747,23.55142,3.26712,91.9962,146.6684,13.6316,10.7013,15.1807,14.3958,0.49891,0.62439,29446.45365,2
MSI,26.84352,31.46798,3.26712,91.9962,120.6005,13.4835,11.5148,15.1807,11.2031,0.80776,0.57453,27718.74229,2
CMI,11.22339,14.52278,3.53205,35.622,26.2656,10.5269,8.1325,33.851,9.0307,1.24815,1.1563,27553.89878,0
WMB,178.5757,27.49395,1.9974,133.2819,57.1334,1.8679,11.8974,1.0424,3.0944,0.94727,1.54066,28107.412510000002,1
FLT,28.84538,42.13013,6.84724,117.111,53.9406,37.0774,25.3891,25.7703,6.4602,0.92379,1.11404,26299.90593,4
SBAC,201.54442,216.89465,3.26712,91.9962,140.4536,6.8919,6.3777,15.1807,4.6188,0.61033,0.60721,26547.93966,1
CTAS,30.51203,41.21854,8.68129,99.8302,49.9575,13.1793,9.6366,28.5229,9.9003,0.9405,0.96087,26708.08494,0
DFS,9.54263,11.31067,2.38086,208.7394,67.6102,36.1264,29.9234,26.695,2.7106,1.43144,1.61837,26403.43095,4
ES,29.21209,31.58808,2.16862,127.4914,56.0423,10.4607,9.6864,7.5674,2.9555,0.347,0.18654,26337.98932,5
FE,21.35017,26.69328,3.59465,289.4526,74.3229,10.6768,8.9088,17.0799,3.4466,0.38061,0.19297,25945.76817,5
PH,17.92,21.54429,4.26445,151.4009,60.2229,10.4091,8.6576,24.1933,7.3276,1.42508,1.5696,26507.40826,0
KLAC,22.87175,33.14255,9.67713,131.6805,56.8371,23.035,15.8793,53.2666,11.3784,1.27302,1.67826,26370.616,4
MCK,22.610205,39.97451,3.95485,127.9717,56.1349,-0.2856,0.3022,-7.92,3.0716,1.09017,1.13598,25831.73734,0
EIX,22.610205,24.62637,1.94436,125.3891,55.6322,-2.3332,7.7506,-2.5578,2.4135,0.34476,0.11336,25650.73919,5
RCL,13.33517,21.07659,2.13634,91.5696,47.7996,17.8481,11.303,16.4825,4.7227,1.09435,1.43116,25851.715640000002,0
A,24.39466,45.51519,5.35023,50.695,33.6408,20.7437,11.1248,22.9951,6.5372,1.17514,1.42486,25815.7937,0
CNC,18.88698,18.59379,2.04964,62.9543,38.6331,1.9789,2.0138,11.7836,4.9534,0.98583,0.90586,24265.001659999998,0
ALXN,17.46369,21.11955,2.43112,27.6728,21.6748,31.0478,25.6672,15.0515,8.8258,1.53959,1.67119,24231.33067,4
WLTW,28.99654,35.57502,2.54039,69.7737,41.098,10.0676,8.2186,8.8081,2.5802,0.90071,0.82406,24995.81977,5
PPL,13.95573,18.61714,2.08584,194.3622,66.0282,23.1751,17.3781,15.1572,4.4434,0.49432,0.55379,24409.595530000002,5
O,59.69586,87.74748,2.66313,77.111,43.5382,27.3038,18.5838,4.623,2.7684,0.35063,0.01933,24307.0479,5
DLR,118.20628,136.54243,2.96123,115.27,53.5467,9.202,5.6417,2.4384,1.7782,0.54861,0.36176,24424.46214,1
FTV,34.35723,41.17421,3.42051,87.0107,46.5271,37.574,8.4892,11.0553,4.5174,1.08039,1.24163,25175.2396,4
ADM,20.90865,23.55334,1.29592,51.5199,34.002,1.8514,1.6402,6.2863,2.3659,0.82935,1.07761,24622.23571,0
SYF,6.89961,8.0407,1.63241,91.9962,49.5477,41.1949,35.357,26.0956,3.6097,1.12438,1.16372,23999.59877,4
HRL,25.18889,33.16374,4.09253,4.219,4.0482,10.3061,7.8487,16.9898,8.7728,0.37149,0.05838,24362.60601,5
SWK,36.78743,26.16631,3.21474,71.4968,41.6898,4.5249,6.3493,8.7561,5.0056,1.3128,1.40943,24259.5638,0
VRSK,52.61121,55.34204,11.64283,142.7048,58.7976,18.2336,17.3974,22.0647,8.6448,0.75838,0.68679,24057.729890000002,2
DTE,21.05802,30.75678,2.13843,146.0656,59.3604,8.236,5.6222,10.4167,2.7482,0.25033,0.20459,24078.44935,5
APTV,24.17697,29.08413,6.72448,127.0563,55.958,6.9945,5.805,28.0775,7.2181,1.32105,2.01892,23739.23893,0
MCHP,64.56919,95.80889,4.39824,185.6807,64.9958,7.1481,4.8264,7.2829,3.2104,1.27084,1.40722,23742.42814,0
ETR,28.837,36.14384,2.34281,191.2372,65.6637,7.2313,5.7735,8.5679,1.99,0.21937,0.26747,23529.884169999998,5
TWTR,14.71047,87.03273,2.7774,30.2426,23.2202,47.6725,8.0752,21.5518,2.4868,0.71716,0.56053,23671.8717,5
XLNX,24.76964,38.39747,8.56843,48.3933,32.6115,28.7626,18.5786,37.0546,11.878,0.98466,1.2157,23605.24409,2
NTRS,16.20346,19.45173,2.32467,91.9962,49.5477,25.4027,20.2591,15.1052,1.1926,1.35238,1.23609,22946.77901,4
ROK,33.99314,29.79803,56.72793,558.3621,84.8107,10.3931,11.8515,68.7639,13.8515,1.22014,1.442,23486.07143,2
MKC,32.81916,42.64334,6.59023,133.8677,57.2407,12.9363,9.9372,21.4081,5.9714,0.52003,0.13006,22680.10321,5
CMG,74.85299,81.12521,14.09338,173.1667,63.3923,5.767,5.3205,20.2571,7.7052,1.10411,0.70778,22868.22614,5
K,31.29262,31.1157,8.28282,254.5924,71.7986,5.3466,5.343,25.316,5.486,0.46685,0.53061,22563.37988,5
MSCI,38.17468,60.08045,3.26712,91.9962,105.6548,39.1966,24.8957,514.3413,12.5922,1.10102,1.14867,22090.80894,2
AME,26.63183,34.15565,4.62967,53.6214,34.9049,16.6249,12.9332,18.1712,8.3697,1.09749,1.22954,22555.258680000003,0
UAL,8.26584,9.56538,1.98797,178.2143,64.0564,6.6165,5.7189,27.3086,5.9127,0.92641,1.14518,22019.85842,0
CERN,45.7161,54.34551,5.0732,26.5648,20.9891,9.0178,7.5965,10.6878,5.966,1.10241,0.93704,22457.964819999997,0
PXD,30.91057,16.53086,1.87075,22.0141,18.0423,7.9554,14.7946,6.1557,7.8942,1.19742,1.23082,22559.40051,0
AWK,35.0795,42.30804,3.58239,149.4991,59.9197,17.8471,14.7906,10.5394,3.4411,0.34013,0.05807,21855.83883,5
VRSN,34.88301,47.97511,3.26712,91.9962,520.439,52.5952,38.2996,15.1807,26.5662,1.00318,1.01333,22298.319180000002,2
KR,14.11577,19.52272,2.52601,237.9239,70.4075,1.3149,0.9371,19.0109,3.2666,0.61396,0.59821,22461.431569999997,5
WY,22.610205,102.17613,2.55693,78.5207,43.9841,-2.3336,3.2463,-1.7557,2.5358,1.07334,1.62277,21855.02665,0
ANSS,49.99283,66.65288,7.38849,3.6886,3.5574,30.3513,22.7923,16.0313,9.7158,1.26766,1.41123,21534.82,4
MTB,11.93572,13.30388,1.51333,91.9962,49.5477,33.0735,28.4621,13.2347,1.636,0.96761,1.10898,21966.25188,4
HIG,12.96734,16.11432,1.39496,31.8696,24.1675,8.6628,6.8857,12.0184,2.3359,0.70824,0.63943,21956.86145,5
DLTR,22.610205,24.43451,3.56676,165.1413,62.2842,-6.821,3.8166,-22.7951,5.5143,0.39621,0.4514,21654.601000000002,5
ALGN,52.92801,74.07384,16.64374,4.3714,4.1883,18.2846,13.079,33.5321,14.1338,1.81612,2.06667,21691.690430000002,4
RMD,51.91933,57.90792,10.22562,61.6642,38.1434,15.5223,13.945,20.8588,11.4744,0.89937,0.41362,21636.93579,2
BBY,14.49526,17.06483,6.82656,131.104,56.7294,3.5404,3.0062,49.894,8.2103,1.14668,1.1382,21693.31338,0
IDXX,52.16703,67.72991,106.65887,496.876,83.2461,17.9876,13.8422,421.1479,20.9557,1.0884,0.71529,21484.24516,7
BXP,41.5772,76.36731,3.93439,153.3251,60.525,18.1183,9.6676,9.307,3.1747,0.79473,0.8774,21228.0099,5
FITB,10.00547,11.04187,1.10712,91.9962,49.5477,30.4982,26.3481,12.4805,1.4285,1.15825,1.41055,21531.30883,4
GLW,20.74033,28.29151,1.99548,53.5937,34.8931,10.4086,7.6305,10.0519,3.3948,1.25608,1.15471,21550.45595,0
VTR,43.41808,70.58176,2.00834,111.1058,52.6304,12.8011,7.8789,4.5821,2.454,0.19261,0.27129,21003.67512,5
AMP,11.63943,15.47234,3.50327,95.6478,48.8877,15.1531,11.3946,33.9044,1.4523,1.58863,1.85161,20842.69052,0
BLL,39.17384,43.83929,6.21707,208.5425,67.5895,4.8191,4.3054,15.9029,4.3224,0.698,0.68236,20893.76283,5
ESS,48.05849,120.08499,3.31125,94.911,48.6945,28.9813,11.5849,6.8296,2.5158,0.3668,0.29441,20139.04426,5
FAST,26.35935,31.83421,7.97174,26.5073,20.9531,14.7681,12.2473,31.869,18.7443,1.18305,1.22862,20781.7573,2
CPRT,30.51032,44.84814,10.68669,28.0747,21.9205,32.5894,22.1018,38.6726,18.3864,0.94692,0.79434,20523.38185,2
HPE,20.66234,12.61717,1.20409,80.5877,44.6252,3.6004,5.9121,5.4725,3.3936,1.31509,1.52646,20535.78,0
INCY,50.50978,71.48007,8.3997,3.0659,2.9747,19.2128,13.6105,19.1679,8.99,1.18944,0.98363,20447.66474,0
SNPS,38.90145,55.86401,4.94143,3.3678,3.2581,15.8409,11.0225,14.0797,5.651,1.13158,1.18819,19855.71848,0
DHI,12.63403,15.39974,1.99273,33.0195,24.8231,9.1997,7.55,17.032,8.8787,0.53201,0.99081,20602.45504,5
HAL,16.44625,22.48436,2.00729,117.2198,53.9636,5.1224,3.7489,12.6553,4.851,1.44574,1.5055,20523.0668,0
KEY,12.27703,15.17397,1.27725,91.9962,49.5477,28.9245,21.9292,11.2583,1.2077,1.25222,1.31673,19354.424880000002,4
CBRE,19.22423,22.33123,3.48732,79.8406,44.3952,4.5019,3.8736,20.314,6.0739,1.15345,1.68016,19133.32503,0
CLX,24.14451,30.95231,34.65045,563.2727,84.9232,13.2044,10.2931,132.5183,13.1635,0.52233,0.36362,19092.84259,2
VMC,31.68097,41.55917,3.42681,57.8187,36.6361,12.432,9.529,11.3058,5.4403,0.88893,0.87388,18847.29575,5
HES,22.610205,27.677715,2.12964,72.8505,42.1465,-3.0221,-0.5288,-2.2201,1.7257,1.50684,2.02147,18769.726609999998,0
CDNS,44.19176,61.33519,12.73439,31.3495,23.8672,18.5435,13.3296,31.2475,12.894,1.04928,1.15872,18488.27277,2
ARE,148.36083,184.55269,2.37007,78.186,43.8788,9.2542,6.5862,1.6558,1.6774,0.56204,0.71954,18318.17717,1
MTD,34.91242,45.08072,42.28498,288.4328,74.2555,18.425,14.2627,113.3182,17.2742,1.34995,1.33789,18566.42513,2
IP,13.84572,14.59963,2.49034,144.6754,59.1295,6.0274,5.6956,19.0042,4.2238,1.17018,1.53778,18107.93872,0
AEE,23.11178,30.54923,2.29431,116.6382,53.84,13.9623,10.5806,10.2048,3.0154,0.21261,0.19856,18439.93291,5
GRMN,23.54252,31.61099,4.18836,1.2849,1.2686,21.7943,16.2259,18.7636,10.2724,0.7743,0.9157,18552.15177,2
LEN,9.69635,12.52951,1.21391,66.4839,39.9341,9.0627,6.9293,13.2937,5.208,0.53484,1.05144,18508.18256,5
ABC,21.84158,17.49047,6.3373,150.1203,60.0192,0.4762,0.5951,29.4357,3.0363,1.307,0.97196,17845.216640000002,0
AJG,25.78865,50.58984,3.61046,101.1929,50.2964,10.036,5.1154,14.6487,2.5674,0.74627,0.8049,17615.23212,5
NUE,9.82358,12.25582,1.67175,41.0404,29.0983,7.6205,6.0772,17.797,8.9042,1.26038,1.65692,17622.87132,0
CMS,28.05277,36.99325,3.51873,265.1782,72.6161,9.0274,6.8578,12.7962,3.1549,0.20112,0.05205,17440.87186,5
OMC,13.43829,16.1132,7.06452,211.9334,67.9418,8.8816,7.4047,54.6122,5.637,0.70172,0.70262,17601.45771,5
GWW,18.82378,22.46807,9.25573,115.8783,53.6776,8.3757,6.9658,49.8332,14.8681,1.10058,0.97003,17750.008019999997,0
SWKS,20.72802,29.33525,4.18246,91.9962,49.5477,25.2783,17.8552,20.7706,12.3558,0.95797,1.06424,18620.31916,2
NDAQ,33.35215,27.07008,3.23758,72.5549,42.0474,12.1624,14.9867,9.644,5.0206,0.86052,0.6582,17029.1361,5
CHD,28.79127,36.30213,6.73311,91.6344,47.8173,14.3263,11.3954,25.0086,8.4288,0.43004,0.0982,17030.89707,5
CINF,18.90164,25.0306,1.83731,9.444,8.629,14.1777,10.7027,10.3812,3.0785,0.77355,0.59769,17206.553369999998,5
MLM,29.8846,38.5452,3.22191,64.4901,39.206,13.2136,10.2239,11.2144,5.34,0.71193,1.09949,17014.5201,5
PEAK,19.98941,165.67362,2.8641,103.5901,50.8817,43.6964,5.2869,15.1021,1.8428,0.23844,0.15576,16427.50703,5
CFG,10.31866,12.65506,0.83627,91.9962,49.5477,29.7088,23.3076,8.6079,1.1184,1.33203,1.47041,17014.89935,4
FCX,73.72875,109.2732,1.7884,58.0036,36.7103,1.6719,1.0917,2.3582,0.8418,1.45739,2.47605,18629.731780000002,1
EFX,22.610205,90.08329,6.66681,129.3189,56.3926,-11.1256,5.4024,-13.4168,3.3514,1.13263,1.1998,16461.28606,0
LH,22.6175,23.04566,2.31246,102.579,50.6365,6.6257,6.5001,10.4232,5.1696,0.80413,1.04093,16256.482,0
MGM,22.610205,73.58037,2.7279,146.1609,59.3761,0.1155,1.8863,0.0272,3.0145,1.25168,1.51643,16536.14777,0
